UID,timestamp,NID,attitude
U236341,1573725185,N78817,1
U695557,1573463201,N47257,1
U710497,1573532560,N103953,1
U710497,1573532560,N27097,1
U675541,1573449514,N115927,1
U675541,1573449514,N90445,1
U675541,1573449514,N50235,1
U675541,1573449514,N64888,1
U675541,1573449514,N91148,1
U355897,1573669973,N112335,1
U355897,1573669973,N126252,1
U412633,1573548347,N27097,1
U412633,1573548347,N77488,1
U550765,1573636682,N117242,1
U95005,1573587018,N97705,1
U95005,1573587018,N88162,1
U95005,1573587018,N92285,1
U95005,1573587018,N68209,1
U653041,1573461464,N32154,1
U477073,1573532067,N83412,1
U549037,1573494329,N68562,1
U224497,1573340475,N93934,1
U260533,1573646683,N114252,1
U228241,1573450183,N54797,1
U228241,1573450183,N99486,1
U228241,1573450183,N70786,1
U150085,1573642556,N97711,1
U150085,1573642556,N104180,1
U150085,1573642556,N96356,1
U150085,1573642556,N109911,1
U631045,1573707915,N58641,1
U631045,1573707915,N25751,1
U631045,1573707915,N18405,1
U133273,1573650106,N44599,1
U630037,1573642609,N82233,1
U372817,1573492892,N83702,1
U372817,1573492892,N62730,1
U114985,1573622680,N91716,1
U6661,1573715565,N105407,1
U6661,1573715565,N66244,1
U139321,1573641643,N84235,1
U139321,1573641643,N1923,1
U139321,1573641643,N68562,1
U139321,1573641643,N37831,1
U139321,1573641643,N15655,1
U670897,1573546385,N110303,1
U458605,1573694810,N106363,1
U458605,1573694810,N18405,1
U458605,1573694810,N9990,1
U458605,1573694810,N129623,1
U458605,1573694810,N107952,1
U273745,1573732607,N105407,1
U82405,1573301717,N114429,1
U591193,1573445778,N12586,1
U591193,1573445778,N24150,1
U591193,1573445778,N3664,1
U591193,1573445778,N9935,1
U591193,1573445778,N64888,1
U695557,1573707484,N47201,1
U695557,1573707484,N50926,1
U695557,1573707484,N27460,1
U695557,1573707484,N120208,1
U695557,1573707484,N4135,1
U559621,1573714665,N79233,1
U559621,1573714665,N15781,1
U559621,1573714665,N12730,1
U559621,1573714665,N46180,1
U499537,1573379843,N72220,1
U260533,1573559554,N84591,1
U260533,1573559554,N71497,1
U260533,1573559554,N24085,1
U260533,1573559554,N123724,1
U260533,1573559554,N126678,1
U260533,1573559554,N32093,1
U260533,1573559554,N74550,1
U260533,1573559554,N106875,1
U260533,1573559554,N39100,1
U666073,1573284088,N79081,1
U666073,1573284088,N43186,1
U507709,1573580551,N56668,1
U507709,1573580551,N107952,1
U507709,1573580551,N31862,1
U507709,1573580551,N46802,1
U492841,1573619669,N10802,1
U549037,1573473321,N49168,1
U302113,1573731241,N81374,1
